"InstanceNo.","Key","Museum","Site","Type",
0,"BM118218_C20","British Museum","Nimrud","head",
1,"BM118252_C18","British Museum","Nimrud","head",
2,"BM118219_C16","British Museum","Nimrud","head",
3,"BM7637","British Museum","Nimrud","woman at the window",
4,"BM9433","British Museum","Nimrud","woman at the window",
5,"BM10724","British Museum","Nimrud","head",
6,"BM9619","British Museum","Nimrud","head",
7,"BM7781","British Museum","Nimrud","woman at the window",
8,"BM7874","British Museum","Nimrud","woman at the window",
9,"BM8015","British Museum","Nimrud","woman at the window",
10,"BM9736","British Museum","Nimrud","head",
11,"BM9103","British Museum","Nimrud","face",
12,"BM9394","British Museum","Nimrud","head",
13,"BM8007","British Museum","Nimrud","head",
14,"BM9491","British Museum","Nimrud","sphinx",
15,"BM10495","British Museum","Nimrud","sphinx",
16,"BM9364","British Museum","Nimrud","full-length figure",
17,"BM8000","British Museum","Nimrud","full-length figure",
18,"BM10663","British Museum","Nimrud","full-length figure",
19,"BM9430","British Museum","Nimrud","full-length figure",
20,"BM9197","British Museum","Nimrud","full-length figure",
21,"BM9760","British Museum","Nimrud","sphinx",
22,"BM7995","British Museum","Nimrud","sphinx",
23,"BM10477","British Museum","Nimrud","sphinx",
24,"BM9733","British Museum","Nimrud","full-length figure",
25,"BM118251_C17","British Museum","Nimrud","head",
26,"BM9199","British Museum","Nimrud","full-length figure",
27,"BM6355","British Museum","Nimrud","head",
28,"BM7774","British Museum","Nimrud","head",
29,"BM7676","British Museum","Nimrud","sphinx",
30,"BM123772_C21","British Museum","Nimrud","head",
31,"1956A488Bham","Birmingham City Museum and Art Gallery (UK)","Nimrud","head",
32,"BM126693_S231","British Museum","Nimrud","body fragment",
33,"BM126694_S232","British Museum","Nimrud","body fragment",
34,"BM126695_S233","British Museum","Nimrud","body fragment",
35,"BM10511Hanover_RtFig","British Museum","Nimrud","full-length figure",
36,"BM10511HanoverLftFig","British Museum","Nimrud","full-length figure",
37,"BM10719","British Museum","Nimrud","full-length figure",
38,"BM126686_S224","British Museum","Nimrud","full-length figure",
39,"BM118256_S235","British Museum","Nimrud","body fragment",
40,"BM126696_S234_Fig1","British Museum","Nimrud","backtobackBody",
41,"72_40Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","full-length figure",
42,"72_41Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","full-length figure",
43,"72_39Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","full-length figure",
44,"72_35Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","head",
45,"72_34Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","woman at the window",
46,"72_36Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","head",
47,"72_51Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","head",
48,"72_523Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","woman at the window",
49,"72_32Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","woman at the window",
50,"72_33Kruh","Badisches Landesmuseum, Karlsruhe ","ArslanTash","woman at the window",
51,"1956A489Bham","Birmingham City Museum and Art Gallery (UK)","Nimrud","head",
52,"1965.A451Bham","Birmingham City Museum and Art Gallery (UK)","Nimrud","woman at the window",
53,"1962.306Ash","Ashmolean Museum, Oxford","Nimrud","sphinx",
54,"1959.2Cambr","Fitzwilliam Museum, Cambridge","Nimrud","genie",
55,"1957.220Ash","Ashmolean Museum, Oxford","Nimrud","full-length figure",
56,"1966.3Manchester","Manchester Museum (UK)","Nimrud","head"," "
57,"A22167Chic","Oriental Institute, University of Chcago","Khorsabad","full-length figure",
58,"65.923Bost","Boston Museum of Fine Arts","Nimrud","full-length figure",
59,"65.924Bost","Boston Museum of Fine Arts","Nimrud","sphinx",
60,"A22165Chic","Oriental Institute, University of Chcago","Khorsabad","woman at the window",
61,"A22163Chic","Oriental Institute, University of Chcago","Khorsabad","woman at the window",
62,"A22162Chic","Oriental Institute, University of Chcago","Khorsabad","woman at the window",
63,"A22164Chic","Oriental Institute, University of Chcago","Khorsabad","woman at the window",
64,"A22170Chic","Oriental Institute, University of Chcago","Khorsabad","sphinx",
65,"A22172Chic","Oriental Institute, University of Chcago","Khorsabad","sphinx",
66,"A22166Chic","Oriental Institute, University of Chcago","Khorsabad","woman at the window",
67,"65.926Bost","Boston Museum of Fine Arts","Nimrud","face",
68,"1962.7Ash","Ashmolean Museum, Oxford","Nimrud","face",
69,"A22276Chic","Oriental Institute, University of Chcago","Megiddo","head",
70,"A22257Chic","Oriental Institute, University of Chcago","Megiddo","full-length figure",
71,"BM118250_C19","British Museum","Nimrud","head",
72,"BM118155_C13","British Museum","Nimrud","woman at the window",
73,"BM118247_S26","British Museum","Nimrud","full-length figure",
74,"BM126521_S20","British Museum","Nimrud","full-length figure",
75,"BM118264_S47","British Museum","Nimrud","full-length figure",
76,"BM126590_S92","British Museum","Nimrud","full-length figure",
77,"BM118227_C39","British Museum","Nimrud","face",
78,"BM118222_C41","British Museum","Nimrud","face",
79,"BM123771_C40","British Museum","Nimrud","head",
80,"BM118226_S97","British Museum","Nimrud","head",
81,"MB118263_S316","British Museum","Nimrud","head",
82,"BM126596e_S100i","British Museum","Nimrud","head",
83,"BM126596b_S100e","British Museum","Nimrud","face",
84,"BM126668_S179a","British Museum","Nimrud","head",
85,"BM126668_S179b","British Museum","Nimrud","head",
86,"BM126667_S176","British Museum","Nimrud","head",
87,"BM118235_S177","British Museum","Nimrud","head",
88,"BM118234_S172","British Museum","Nimrud","head",
89,"BM118233_S173","British Museum","Nimrud","head",
90,"BM126666_S175","British Museum","Nimrud","head",
91,"BM118186_S186","British Museum","Nimrud","head",
92,"BM118216_S185","British Museum","Nimrud","head",
93,"BM126838_S188b","British Museum","Nimrud","head",
94,"BM127055_S187","British Museum","Nimrud","head",
95,"BM118220_S184","British Museum","Nimrud","head",
96,"BM126838_S188a","British Museum","Nimrud","head",
97,"BM118238_S174","British Museum","Nimrud","head",
98,"BM118257_S195a","British Museum","Nimrud","head",
99,"BM116674a_S203a-b","British Museum","Nimrud","head",
100,"BM116674b_S203a-b","British Museum","Nimrud","head",
101,"BM126963_S192","British Museum","Nimrud","head",
102,"BM118237_S193","British Museum","Nimrud","head",
103,"AO11459_Louvre","Louvre","ArslanTash","woman at the window",
104,"AO11461_Louvre","Louvre","ArslanTash","woman at the window",
105,"A011464_Louvre","Louvre","ArslanTash","woman at the window",
106,"A011462_Louvre","Louvre","ArslanTash","head",
107,"AO11460_Louvre","Louvre","ArslanTash","woman at the window",
108,"A011474_Louvre","Louvre","ArslanTash","full-length figure",
109,"AO11471_Louvre","Louvre","ArslanTash","full-length figure",
110,"AO11478_Louvre","Louvre","ArslanTash","sphinx",
111,"A011463_Louvre","Louvre","ArslanTash","head",
112,"57.80.12_Met","Metropolitan Museum of Art, New York","ArslanTash","woman at the window",
113,"57.80.10_Met","Metropolitan Museum of Art, New York","ArslanTash","full-length figure",
114,"57.80.11_Met","Metropolitan Museum of Art, New York","ArslanTash","woman at the window",
115,"57.80.13_Met","Metropolitan Museum of Art, New York","Nimrud","woman at the window",
116,"59.107.10_Met","Metropolitan Museum of Art, New York","Nimrud","full-length figure",
117,"59.107.18_Met","Metropolitan Museum of Art, New York","Nimrud","woman at the window",
118,"54.117.2_Met_UglySis","Metropolitan Museum of Art, New York","Nimrud","head",
119,"52.23.2Fig1_Met","Metropolitan Museum of Art, New York","Nimrud","backtobackBody",
120,"52.23.2_Fig2_Met","Metropolitan Museum of Art, New York","Nimrud","backtobackBody",
121,"52.23.2._Fig3_Met","Metropolitan Museum of Art, New York","Nimrud","backtobackBody",
122,"52.23.2_Fig4_Met","Metropolitan Museum of Art, New York","Nimrud","backtobackBody",
123,"61.197.5_Met","Metropolitan Museum of Art, New York","Nimrud","full-length figure",
124,"54.117.8_Met","Metropolitan Museum of Art, New York","Nimrud","head",
125,"52.23.3_Met","Metropolitan Museum of Art, New York","Nimrud","head",
126,"64.37.1_Met","Metropolitan Museum of Art, New York","Nimrud","sphinx",
127,"57.80.4a_Met","Metropolitan Museum of Art, New York","Nimrud","sphinx",
128,"62.269.6_Met","Metropolitan Museum of Art, New York","Nimrud","full-length figure",
129,"58.31.2_Met","Metropolitan Museum of Art, New York","Nimrud","full-length figure",
130,"59.107.7_Met","Metropolitan Museum of Art, New York","Nimrud","genie",
131,"BM118198_S197","British Museum","Nimrud","head",
132,"BM118208_S334p","British Museum","Nimrud","head",
133,"BM118228_U6_plLXXI","British Museum","SharifKhan","head",
134,"BM118158_C15","British Museum","Nimrud","woman at the window",
135,"BM118159_C12","British Museum","Nimrud","woman at the window",
136,"BM118200_S180","British Museum","Nimrud","head",
137,"BM118217_T5","British Museum","Nineveh","head",
138,"BM118236_S212_Fig1full","British Museum","Nimrud","backtobackHead",
139,"BM118236_S212_Fig2frg","British Museum","Nimrud","head",
140,"118192_S204a","British Museum","Nimrud","head",
141,"118192_S204b","British Museum","Nimrud","head",
142,"BM118230_S181","British Museum","Nimrud","head",
143,"BM118232_S183","British Museum","Nimrud","head",
144,"BM118193_S198","British Museum","Nimrud","head",
