Name,Cluster 1,Probability1,Cluster 2,Probability2,Cluster 3,Probability3,Cluster 4,Probability4
BM118218_C20,1,0.00,2,0.01,3,0.61,4,0.38
BM118252_C18,1,0.00,2,0.00,3,0.54,4,0.46
BM118219_C16,1,0.00,2,0.00,3,0.00,4,1.00
BM7637,1,0.00,2,0.00,3,1.00,4,0.00
BM9433,1,0.00,2,0.01,3,0.87,4,0.13
BM10724,1,0.00,2,0.00,3,0.02,4,0.98
BM9619,1,0.00,2,0.00,3,0.13,4,0.87
BM7781,1,0.00,2,0.00,3,1.00,4,0.00
BM7874,1,0.00,2,0.00,3,0.96,4,0.04
BM8015,1,0.00,2,0.00,3,0.00,4,1.00
BM9736,1,0.00,2,1.00,3,0.00,4,0.00
BM9103,1,0.00,2,1.00,3,0.00,4,0.00
BM9394,1,0.92,2,0.08,3,0.00,4,0.00
BM8007,1,0.00,2,0.00,3,0.00,4,1.00
BM9491,1,0.00,2,0.00,3,0.00,4,1.00
BM10495,1,0.00,2,0.00,3,0.00,4,1.00
BM9760,1,0.00,2,0.00,3,0.00,4,1.00
BM7995,1,0.00,2,1.00,3,0.00,4,0.00
BM10477,1,0.00,2,0.00,3,0.00,4,1.00
BM118251_C17,1,0.00,2,0.03,3,0.10,4,0.87
BM6355,1,0.00,2,0.00,3,0.01,4,0.99
BM7774,1,0.00,2,0.00,3,0.00,4,1.00
BM7676,1,0.00,2,0.00,3,0.00,4,0.99
BM123772_C21,1,0.00,2,0.00,3,0.00,4,1.00
1956A488Bham,1,1.00,2,0.00,3,0.00,4,0.00
BM126694_S232,1,0.94,2,0.04,3,0.00,4,0.03
BM126695_S233,1,1.00,2,0.00,3,0.00,4,0.00
BM10511Hanover_RtFig,1,0.00,2,0.01,3,0.75,4,0.24
BM10511HanoverLftFig,1,0.00,2,0.01,3,0.74,4,0.25
BM10719,1,0.00,2,0.00,3,0.74,4,0.26
BM126686_S224,1,1.00,2,0.00,3,0.00,4,0.00
BM118256_S235,1,0.87,2,0.08,3,0.00,4,0.05
72_35Kruh,1,0.00,2,0.00,3,0.95,4,0.05
72_34Kruh,1,0.00,2,0.01,3,0.04,4,0.96
72_36Kruh,1,0.00,2,0.00,3,1.00,4,0.00
72_51Kruh,1,0.00,2,0.00,3,1.00,4,0.00
72_523Kruh,1,0.00,2,0.00,3,1.00,4,0.00
72_32Kruh,1,0.00,2,0.00,3,1.00,4,0.00
72_33Kruh,1,0.00,2,0.00,3,0.97,4,0.03
1956A489Bham,1,1.00,2,0.00,3,0.00,4,0.00
1965.A451Bham,1,0.00,2,0.00,3,0.67,4,0.33
1962.306Ash,1,0.00,2,0.00,3,0.00,4,1.00
1966.3Manchester,1,0.00,2,1.00,3,0.00,4,0.00
65.924Bost,1,0.00,2,0.00,3,0.00,4,1.00
A22165Chic,1,0.00,2,0.00,3,1.00,4,0.00
A22163Chic,1,0.00,2,0.00,3,1.00,4,0.00
A22162Chic,1,0.00,2,0.00,3,1.00,4,0.00
A22164Chic,1,0.00,2,0.00,3,1.00,4,0.00
A22170Chic,1,0.00,2,0.00,3,0.97,4,0.03
A22172Chic,1,0.00,2,0.00,3,0.00,4,1.00
A22166Chic,1,0.00,2,0.01,3,0.89,4,0.10
65.926Bost,1,0.00,2,1.00,3,0.00,4,0.00
1962.7Ash,1,0.00,2,1.00,3,0.00,4,0.00
A22276Chic,1,1.00,2,0.00,3,0.00,4,0.00
A22257Chic,1,1.00,2,0.00,3,0.00,4,0.00
BM118250_C19,1,0.00,2,0.00,3,0.00,4,1.00
BM118155_C13,1,0.00,2,0.00,3,0.00,4,1.00
BM118247_S26,1,0.00,2,0.00,3,0.00,4,1.00
BM126521_S20,1,0.00,2,0.00,3,0.00,4,1.00
BM126590_S92,1,0.00,2,0.94,3,0.00,4,0.06
BM118227_C39,1,0.00,2,1.00,3,0.00,4,0.00
BM118222_C41,1,0.00,2,1.00,3,0.00,4,0.00
BM123771_C40,1,0.80,2,0.10,3,0.00,4,0.09
MB118263_S316,1,0.00,2,0.02,3,0.02,4,0.96
BM126596e_S100i,1,0.48,2,0.09,3,0.13,4,0.31
BM126596b_S100e,1,0.00,2,1.00,3,0.00,4,0.00
BM126668_S179a,1,0.99,2,0.00,3,0.00,4,0.01
BM126668_S179b,1,1.00,2,0.00,3,0.00,4,0.00
BM126667_S176,1,1.00,2,0.00,3,0.00,4,0.00
BM118235_S177,1,1.00,2,0.00,3,0.00,4,0.00
BM118234_S172,1,1.00,2,0.00,3,0.00,4,0.00
BM118233_S173,1,1.00,2,0.00,3,0.00,4,0.00
BM126666_S175,1,1.00,2,0.00,3,0.00,4,0.00
BM118186_S186,1,0.00,2,1.00,3,0.00,4,0.00
BM118216_S185,1,0.00,2,0.00,3,0.00,4,1.00
BM126838_S188b,1,1.00,2,0.00,3,0.00,4,0.00
BM127055_S187,1,0.00,2,0.00,3,0.00,4,1.00
BM118220_S184,1,0.00,2,0.00,3,0.00,4,1.00
BM126838_S188a,1,0.98,2,0.00,3,0.00,4,0.02
BM118238_S174,1,1.00,2,0.00,3,0.00,4,0.00
BM118257_S195a,1,1.00,2,0.00,3,0.00,4,0.00
BM116674a_S203a-b,1,0.86,2,0.14,3,0.00,4,0.01
BM116674b_S203a-b,1,1.00,2,0.00,3,0.00,4,0.00
BM126963_S192,1,1.00,2,0.00,3,0.00,4,0.00
BM118237_S193,1,1.00,2,0.00,3,0.00,4,0.00
AO11459_Louvre,1,0.00,2,0.00,3,0.99,4,0.01
AO11461_Louvre,1,0.00,2,0.00,3,0.98,4,0.02
A011464_Louvre,1,0.00,2,0.00,3,0.99,4,0.01
A011462_Louvre,1,0.00,2,0.00,3,0.98,4,0.02
AO11460_Louvre,1,0.00,2,0.00,3,0.93,4,0.07
AO11478_Louvre,1,0.00,2,0.00,3,0.00,4,1.00
A011463_Louvre,1,0.00,2,0.00,3,1.00,4,0.00
57.80.12_Met,1,0.00,2,0.00,3,1.00,4,0.00
57.80.11_Met,1,0.00,2,0.00,3,1.00,4,0.00
57.80.13_Met,1,0.00,2,0.00,3,1.00,4,0.00
59.107.18_Met,1,0.00,2,0.00,3,0.00,4,1.00
54.117.2_Met_UglySis,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2Fig1_Met,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2_Fig2_Met,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2._Fig3_Met,1,1.00,2,0.00,3,0.00,4,0.00
52.23.2_Fig4_Met,1,1.00,2,0.00,3,0.00,4,0.00
61.197.5_Met,1,0.00,2,0.00,3,0.00,4,1.00
54.117.8_Met,1,0.00,2,0.00,3,0.00,4,1.00
52.23.3_Met,1,1.00,2,0.00,3,0.00,4,0.00
64.37.1_Met,1,0.00,2,0.00,3,0.00,4,1.00
57.80.4a_Met,1,0.00,2,0.00,3,0.00,4,1.00
BM118198_S197,1,1.00,2,0.00,3,0.00,4,0.00
BM118208_S334p,1,0.00,2,0.02,3,0.68,4,0.30
BM118228_U6_plLXXI,1,1.00,2,0.00,3,0.00,4,0.00
BM118158_C15,1,0.00,2,0.00,3,0.00,4,1.00
BM118159_C12,1,0.00,2,0.00,3,0.00,4,1.00
BM118200_S180,1,1.00,2,0.00,3,0.00,4,0.00
BM118217_T5,1,1.00,2,0.00,3,0.00,4,0.00
BM118236_S212_Fig1full,1,1.00,2,0.00,3,0.00,4,0.00
BM118236_S212_Fig2frg,1,1.00,2,0.00,3,0.00,4,0.00
118192_S204a,1,1.00,2,0.00,3,0.00,4,0.00
118192_S204b,1,0.94,2,0.05,3,0.00,4,0.00
BM118230_S181,1,1.00,2,0.00,3,0.00,4,0.00
